     Log Time       | Informaiton

2018-02-28 01:46:41 | [Success]  Updated all cities! TimePoint: 2018-02-28T01:00:00Z
2018-02-28 01:35:19 | [Success]  Updated all cities! TimePoint: 2018-02-28T00:00:00Z
2018-02-28 01:35:19 | [New his pickle] Create history-2018-02.pickle
2018-02-28 01:32:07 | [Canceled] Same as the previous
2018-02-28 01:31:57 | [Canceled] Same as the previous
2018-02-28 01:30:59 | [Success]  Updated all cities! TimePoint: 2018-02-28T00:00:00Z
2018-02-28 01:30:59 | [new his pickle] Create history-2018-02.pickle
2018-02-27 15:41:42 | [Canceled] Same as the previous
2018-02-16 14:32:44 | [Canceled] Same as the previous
2018-02-16 14:12:44 | [Canceled] Same as the previous
2018-02-16 11:34:09 | [Canceled] Same as the previous
2018-02-13 22:36:34 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 22:16:34 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 21:56:34 | [Success]  Updated all cities! TimePoint: 2018-02-13T21:00:00Z
2018-02-13 21:35:52 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 21:15:52 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 20:55:52 | [Success]  Updated all cities! TimePoint: 2018-02-13T20:00:00Z
2018-02-13 20:35:05 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 20:15:05 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 19:55:04 | [Success]  Updated all cities! TimePoint: 2018-02-13T19:00:00Z
2018-02-13 19:34:22 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 19:14:22 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 18:54:22 | [Success]  Updated all cities! TimePoint: 2018-02-13T18:00:00Z
2018-02-13 18:33:35 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 18:13:35 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 17:53:35 | [Success]  Updated all cities! TimePoint: 2018-02-13T17:00:00Z
2018-02-13 17:32:48 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 17:12:48 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 16:52:48 | [Success]  Updated all cities! TimePoint: 2018-02-13T16:00:00Z
2018-02-13 16:32:05 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 16:12:05 | [Canceled] Same as the previous time point, so this update has been canceled!
2018-02-13 15:52:04 | [Success]  Updated all cities! TimePoint: 2018-02-13T15:00:00Z
2018-02-13 15:31:19 | [Canceled] Same as the previous time point, so this update has been canceled!
